ID,IDs of directly connected nested subcatchments,,,,,,,,,,,,,,,,,,,
G0002,G0027,G0028,,,,,,,,,,,,,,,,,,
G0003,G0006,G0008,,,,,,,,,,,,,,,,,,
G0004,G0024,,,,,,,,,,,,,,,,,,,
G0005,,,,,,,,,,,,,,,,,,,,
G0006,,,,,,,,,,,,,,,,,,,,
G0008,,,,,,,,,,,,,,,,,,,,
G0012,,,,,,,,,,,,,,,,,,,,
G0015,G0005,G0012,G0041,,,,,,,,,,,,,,,,,
G0016,G0015,G0030,,,,,,,,,,,,,,,,,,
G0018,G0016,,,,,,,,,,,,,,,,,,,
G0020,,,,,,,,,,,,,,,,,,,,
G0022,,,,,,,,,,,,,,,,,,,,
G0023,G0003,G0020,G0022,,,,,,,,,,,,,,,,,
G0024,,,,,,,,,,,,,,,,,,,,
G0026,,,,,,,,,,,,,,,,,,,,
G0027,G0026,G0040,,,,,,,,,,,,,,,,,,
G0028,,,,,,,,,,,,,,,,,,,,
G0030,G0002,,,,,,,,,,,,,,,,,,,
G0036,,,,,,,,,,,,,,,,,,,,
G0040,G0004,G0023,,,,,,,,,,,,,,,,,,
G0041,G0036,,,,,,,,,,,,,,,,,,,
